address	ID	Name
"-10, 040181, 143, 560709"	1003	Australia
"        -19, 140249, -68, 683995"	1004	"A-377, VolcÃ¡n Isluga National Park, Colchane, Tamarugal, Tarapaca, Chile"
"        30, 109104, 84, 817876"	1006	"Coqen, Ngari, Xizang (Tibet), China"
"        30, 248502, 85, 047215"	1007	"Coqen, Ngari, Xizang (Tibet), China"
"        30, 349926, 85, 157309"	1008	"S206, Coqen, Ngari, Xizang (Tibet), China"
"        -76, 646349, 160, 41473"	1010	Antarctica
"        -71, 924341, 25, 157817"	1012	Antarctica
"        29, 14274, 90, 513512"	1014	"307 Provincial Road, Nagarze, Shannan, Xizang (Tibet), China"
"        45, 351844, 53, 524919"	1017	"Beyneu District, Mangystau, Kazakhstan"
"        24, 659177, 24, 968061"	1018	"Al Kufrah, Libya"
"        23, 604734, 25, 315547"	1019	"Qesm Al Wahat Ad Dakhlah, New Valley Governorate, Egypt"
"        43, 536867, -102, 360299"	1021	"Unnamed Road, Porcupine, East Shannon, Shannon County, South Dakota, United States, 57772"
"        35, 286769, 100, 291448"	1022	"Tongde, Hainan, Qinghai, China"
"        33, 68746, 79, 859533"	1023	"219 National Road, Rutog, Ngari, Xizang (Tibet), China"
"        32, 688049, 22, 87596"	1024	Libya
"        18, 431694, 21, 068799"	1026	"Ennedi, Chad"
"        24, 936413, -76, 333179"	1027	"Meridian Highway, South Eleuthera, The Bahamas"
"        -17, 369726, -145, 549783"	1032	"Tuamotus Islands, The Tuamotu and Gambier Islands, French Polynesia"
"        41, 989079, -87, 901827"	1033	"1-99, Chicago O'Hare International Airport, Upper Level T1 St, O'Hare, Chicago, Cook County, Illinois, United States, 60666"
"        39, 39742, -121, 141797"	1034	"Road 169, Plumas National Forest, Camptonville, Yuba County, California, United States, 95922"
"        50, 915255, 6, 491187"	1035	"Eisbeerenweg, Niederzier, Cologne, North Rhine-Westphalia, Germany, 52382"
"        60, 997524, -45, 010386"	1036	"Kujalleq, Greenland"
"        64, 181119, -17, 140045"	1037	"SkaftafelljÃ¶kull Trail, VatnajÃ¶kull National Park, Iceland"
"        45, 962714, 7, 724891"	1038	"1-1, Bahnhof Gornergrat, Zermatt, Visp, Valais, Switzerland, 3920"
"        45, 946972, 7, 853036"	1039	"129, Centro Abitato Pecetto, Macugnaga, Verbano-Cusio-Ossola, Piedmont, Italy, 28876"
"        46, 054866, 7, 973993"	1040	"Furggu, Saas-Almagell, Visp, Valais, Switzerland, 3905"
"        80, 884801, -82, 867126"	1041	"X0A, Nunavut, Canada"
"        40, 812713, -112, 649732"	1046	"Unnamed Road, Tooele County, Utah, United States"
"        40, 831581, -112, 609434"	1047	"West West Stansbury Causeway Road, Tooele County, Utah, United States"
"        41, 306577, -113, 015885"	1048	"Lower Hogup Finger Road, Box Elder County, Utah, United States"
